make,model,title,price,mileage,year,transmission,fuel_type,reviews,rating,color,doors,body_type,distance
Dacia,Duster,Dacia Duster 1.5 dCi Laureate Euro 5 5dr,5690,51000,2013,Manual,Diesel,19.0,4.0,White,5,Suv,9 miles
Vauxhall,Insignia,Vauxhall Insignia 2.0 CDTi ecoFLEX Elite Nav Euro 5 (s/s) 5dr,5890,108000,2015,Manual,Diesel,96.0,4.5,Grey,5,Hatchback,9 miles
BMW,1 Series,BMW 1 Series 2.0 118d Exclusive Edition Euro 5 (s/s) 2dr,5890,104000,2013,Manual,Diesel,31.0,4.0,White,2,Coupe,9 miles
Mercedes-Benz,CLS,Mercedes-Benz CLS 3.0 CLS350 CDI Coupe 7G-Tronic 4dr,5890,87000,2010,Automatic,Diesel,10.0,4.5,Black,4,Saloon,9 miles
Ford,Focus,Ford Focus 1.6 TDCi Zetec 5dr,5890,53000,2011,Manual,Diesel,620.0,4.0,Silver,5,Hatchback,9 miles
MINI,Clubman,MINI Clubman 1.6 Cooper D Steptronic Euro 4 5dr,5990,80000,2008,Automatic,Diesel,12.0,4.5,White,5,Estate,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 2900 CDTi Sportive FWD L3 4dr,5990,110000,2011,Manual,Diesel,2.0,4.5,Black,4,Panel van,9 miles
Mercedes-Benz,Vito,Mercedes-Benz Vito 2.1 113 CDi L1 5dr,5990,89000,2011,Manual,Diesel,8.0,4.5,White,5,Panel van,9 miles
Ford,Focus,Ford Focus 2.5 SIV ST-3 5dr,5990,102000,2007,Manual,Petrol,620.0,4.0,Blue,5,Hatchback,9 miles
Ford,Transit,Ford Transit 2.2 TDCi 280 FWD L1 H2 3dr,5990,97000,2013,Manual,Diesel,15.0,4.0,White,3,Panel van,9 miles
Vauxhall,Mokka,Vauxhall Mokka 1.6i Exclusiv 2WD Euro 6 (s/s) 5dr,5990,90000,2015,Manual,Petrol,32.0,4.5,Grey,5,Suv,9 miles
SsangYong,Korando,SsangYong Korando 2.0D EX T-Tronic 4WD Euro 5 5dr,5990,61000,2011,Automatic,Diesel,5.0,4.0,Black,5,Suv,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 CDTi Sportive FWD L1 4dr,5990,66000,2008,Manual,Diesel,2.0,4.5,Grey,4,Panel van,9 miles
MINI,Convertible,MINI Convertible 1.6 Cooper Sidewalk Euro 4 2dr,5990,34000,2008,Manual,Petrol,4.0,3.5,Black,2,Convertible,9 miles
Kia,Sportage,Kia Sportage 1.7 CRDi EcoDynamics 2 2WD Euro 5 (s/s) 5dr,5990,119000,2013,Manual,Diesel,45.0,4.5,Blue,5,Suv,9 miles
Kia,Optima,Kia Optima 1.7 CRDi EcoDynamics 1 Euro 5 (s/s) 4dr,5990,60000,2012,Manual,Diesel,2.0,4.5,Silver,4,Saloon,9 miles
Dacia,Sandero Stepway,Dacia Sandero Stepway 1.5 dCi Ambiance Euro 6 (s/s) 5dr,5990,95000,2016,Manual,Diesel,15.0,4.0,White,5,Hatchback,9 miles
Ford,Transit,Ford Transit 2.2 TDCi 350 FWD L2 H2 3dr,5990,122000,2013,Manual,Diesel,15.0,4.0,White,3,Panel van,9 miles
Ford,Transit,Ford Transit 2.2 TDCi 280 Duratorq FWD L2 H2 3dr,5990,69000,2010,Manual,Diesel,15.0,4.0,White,3,Panel van,9 miles
Ford,Kuga,Ford Kuga 2.0 TDCi Titanium AWD Euro 5 5dr,5990,91000,2011,Manual,Diesel,31.0,4.5,White,5,Suv,9 miles
Vauxhall,Mokka,Vauxhall Mokka 1.7 CDTi Tech Line 4WD Euro 5 (s/s) 5dr,6280,96000,2015,Manual,Diesel,32.0,4.5,Red,5,Suv,9 miles
Land Rover,Freelander 2,Land Rover Freelander 2 2.2 TD4e HSE 4WD Euro 4 (s/s) 5dr,6290,105000,2010,Manual,Diesel,96.0,4.5,Silver,5,Suv,9 miles
BMW,3 Series,BMW 3 Series 2.0 320d M Sport Touring Steptronic Euro 5 5dr,6290,117000,2010,Automatic,Diesel,126.0,4.0,Grey,5,Estate,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 2900 CDTi FWD L3 4dr,6290,112000,2014,Manual,Diesel,2.0,4.5,Silver,4,Panel van,9 miles
Jeep,Compass,Jeep Compass 2.2 CRD Limited 4WD Euro 5 5dr,6490,54000,2012,Manual,Diesel,2.0,4.0,Grey,5,Suv,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 2700 CDTi FWD L1 4dr,6490,49000,2009,Manual,Diesel,2.0,4.5,White,4,Panel van,9 miles
Renault,Captur,Renault Captur 1.5 dCi ENERGY Dynamique MediaNav Euro 5 (s/s) 5dr,6490,84000,2013,Manual,Diesel,9.0,4.5,Blue,5,Suv,9 miles
Mercedes-Benz,Vito,Mercedes-Benz Vito 2.1 111CDI Dualiner Basic Compact Panel Van SWB 5dr,6490,114000,2007,Automatic,Diesel,8.0,4.5,Silver,5,Panel van,9 miles
Vauxhall,Vivaro,Vauxhall Vivaro 2.0 CDTi Sportive FWD L1 4dr,6490,80000,2010,Manual,Diesel,2.0,4.5,Silver,4,Panel van,9 miles
